InventoryId,ItemId,Warehouse,QuantityAvailable,ReorderPoint,LastUpdated
INV4000,ITEM3074,East Coast Warehouse,613,246,2025-07-28T23:12:34.031096
INV4001,ITEM3149,Asia Warehouse,968,105,2025-07-28T23:08:44.153393
INV4002,ITEM3196,Europe Warehouse,624,163,2025-07-28T23:11:56.917355
INV4003,ITEM3049,West Coast Warehouse,582,260,2025-07-28T23:11:56.492211
INV4004,ITEM3014,Asia Warehouse,700,123,2025-07-28T23:10:31.404644
INV4005,ITEM3068,Europe Warehouse,23,290,2025-07-28T23:13:36.087990
INV4006,ITEM3122,Asia Warehouse,565,230,2025-07-28T23:10:14.039237
INV4007,ITEM3160,West Coast Warehouse,870,141,2025-07-28T23:08:28.495097
INV4008,ITEM3179,Asia Warehouse,377,285,2025-07-28T23:12:13.359782
INV4009,ITEM3133,West Coast Warehouse,179,220,2025-07-28T23:10:51.514633
INV4010,ITEM3194,West Coast Warehouse,330,133,2025-07-28T23:09:51.855036
INV4011,ITEM3126,Europe Warehouse,66,107,2025-07-28T23:08:43.870761
INV4012,ITEM3068,West Coast Warehouse,591,218,2025-07-28T23:09:11.621321
INV4013,ITEM3076,Asia Warehouse,250,275,2025-07-28T23:08:20.929472
INV4014,ITEM3078,Asia Warehouse,247,145,2025-07-28T23:11:58.839316
INV4015,ITEM3108,Asia Warehouse,512,264,2025-07-28T23:12:49.774251
INV4016,ITEM3105,East Coast Warehouse,822,254,2025-07-28T23:10:03.185309
INV4017,ITEM3012,Europe Warehouse,893,140,2025-07-28T23:12:04.257484
INV4018,ITEM3144,West Coast Warehouse,473,284,2025-07-28T23:12:03.809108
INV4019,ITEM3065,East Coast Warehouse,7,291,2025-07-28T23:08:42.654731
INV4020,ITEM3059,East Coast Warehouse,698,273,2025-07-28T23:13:55.860597
INV4021,ITEM3043,Asia Warehouse,887,233,2025-07-28T23:11:27.060358
INV4022,ITEM3086,Asia Warehouse,882,198,2025-07-28T23:12:44.741459
INV4023,ITEM3197,East Coast Warehouse,801,206,2025-07-28T23:13:56.625411
INV4024,ITEM3032,Europe Warehouse,904,283,2025-07-28T23:11:19.831364
INV4025,ITEM3145,East Coast Warehouse,732,298,2025-07-28T23:12:42.201087
INV4026,ITEM3183,East Coast Warehouse,449,223,2025-07-28T23:11:12.949968
INV4027,ITEM3161,East Coast Warehouse,299,201,2025-07-28T23:08:18.719065
INV4028,ITEM3134,East Coast Warehouse,372,202,2025-07-28T23:12:08.971589
INV4029,ITEM3158,Asia Warehouse,438,131,2025-07-28T23:11:23.469397
INV4030,ITEM3101,East Coast Warehouse,149,167,2025-07-28T23:13:58.455636
INV4031,ITEM3183,East Coast Warehouse,739,143,2025-07-28T23:09:50.986510
INV4032,ITEM3162,Europe Warehouse,422,268,2025-07-28T23:09:26.089799
INV4033,ITEM3026,Europe Warehouse,145,162,2025-07-28T23:13:10.688598
INV4034,ITEM3168,Asia Warehouse,215,167,2025-07-28T23:13:14.010279
INV4035,ITEM3132,East Coast Warehouse,337,264,2025-07-28T23:11:40.638990
INV4036,ITEM3153,East Coast Warehouse,469,281,2025-07-28T23:08:42.473260
INV4037,ITEM3153,Asia Warehouse,770,162,2025-07-28T23:11:24.075792
INV4038,ITEM3125,Europe Warehouse,350,175,2025-07-28T23:10:07.355218
INV4039,ITEM3142,Asia Warehouse,338,215,2025-07-28T23:11:44.001490
INV4040,ITEM3180,Europe Warehouse,581,170,2025-07-28T23:11:08.930295
INV4041,ITEM3093,East Coast Warehouse,779,135,2025-07-28T23:13:48.185562
INV4042,ITEM3013,West Coast Warehouse,534,173,2025-07-28T23:10:14.384360
INV4043,ITEM3074,East Coast Warehouse,226,194,2025-07-28T23:09:16.982882
INV4044,ITEM3190,Europe Warehouse,730,174,2025-07-28T23:08:20.660498
INV4045,ITEM3055,Europe Warehouse,967,283,2025-07-28T23:11:22.044632
INV4046,ITEM3009,West Coast Warehouse,581,262,2025-07-28T23:10:29.523954
INV4047,ITEM3092,Europe Warehouse,486,282,2025-07-28T23:08:44.769031
INV4048,ITEM3140,Asia Warehouse,689,175,2025-07-28T23:14:04.723001
INV4049,ITEM3037,West Coast Warehouse,761,277,2025-07-28T23:11:27.040539
INV4050,ITEM3013,West Coast Warehouse,150,255,2025-07-28T23:09:54.726621
INV4051,ITEM3109,Europe Warehouse,879,198,2025-07-28T23:09:17.760813
INV4052,ITEM3177,Europe Warehouse,652,158,2025-07-28T23:12:48.589689
INV4053,ITEM3107,East Coast Warehouse,871,154,2025-07-28T23:09:07.521853
INV4054,ITEM3102,Europe Warehouse,151,249,2025-07-28T23:13:54.779302
INV4055,ITEM3180,East Coast Warehouse,265,193,2025-07-28T23:12:16.299084
INV4056,ITEM3007,Asia Warehouse,488,258,2025-07-28T23:08:33.208945
INV4057,ITEM3079,West Coast Warehouse,995,188,2025-07-28T23:13:58.004400
INV4058,ITEM3013,West Coast Warehouse,601,228,2025-07-28T23:09:17.324822
INV4059,ITEM3052,Europe Warehouse,535,195,2025-07-28T23:12:28.788224
INV4060,ITEM3111,Asia Warehouse,886,224,2025-07-28T23:09:59.288761
INV4061,ITEM3118,West Coast Warehouse,891,234,2025-07-28T23:08:47.547918
INV4062,ITEM3098,Asia Warehouse,179,223,2025-07-28T23:09:03.285798
INV4063,ITEM3148,Asia Warehouse,14,271,2025-07-28T23:13:33.483968
INV4064,ITEM3028,East Coast Warehouse,350,157,2025-07-28T23:09:44.856344
INV4065,ITEM3161,Europe Warehouse,211,157,2025-07-28T23:13:50.967906
INV4066,ITEM3049,West Coast Warehouse,284,255,2025-07-28T23:13:35.820541
INV4067,ITEM3016,East Coast Warehouse,665,150,2025-07-28T23:08:30.676123
INV4068,ITEM3160,Europe Warehouse,510,217,2025-07-28T23:09:38.264267
INV4069,ITEM3017,East Coast Warehouse,860,291,2025-07-28T23:11:46.921663
INV4070,ITEM3178,West Coast Warehouse,759,151,2025-07-28T23:09:37.136802
INV4071,ITEM3138,Europe Warehouse,680,108,2025-07-28T23:11:15.103658
INV4072,ITEM3101,Asia Warehouse,641,125,2025-07-28T23:11:13.591651
INV4073,ITEM3117,Europe Warehouse,519,117,2025-07-28T23:13:53.768540
INV4074,ITEM3057,Europe Warehouse,566,236,2025-07-28T23:09:48.943510
INV4075,ITEM3102,East Coast Warehouse,993,114,2025-07-28T23:10:06.601120
INV4076,ITEM3051,Asia Warehouse,580,233,2025-07-28T23:11:31.123591
INV4077,ITEM3116,West Coast Warehouse,250,165,2025-07-28T23:08:35.564956
INV4078,ITEM3131,West Coast Warehouse,706,266,2025-07-28T23:08:22.406318
INV4079,ITEM3044,West Coast Warehouse,233,276,2025-07-28T23:12:00.074866
INV4080,ITEM3123,Asia Warehouse,181,110,2025-07-28T23:13:40.944635
INV4081,ITEM3009,Europe Warehouse,565,171,2025-07-28T23:08:18.704220
INV4082,ITEM3055,East Coast Warehouse,760,148,2025-07-28T23:11:31.467095
INV4083,ITEM3083,East Coast Warehouse,927,133,2025-07-28T23:11:43.022171
INV4084,ITEM3139,Europe Warehouse,62,153,2025-07-28T23:08:48.543390
INV4085,ITEM3062,West Coast Warehouse,249,249,2025-07-28T23:12:46.672187
INV4086,ITEM3157,Asia Warehouse,475,125,2025-07-28T23:12:06.558327
INV4087,ITEM3195,East Coast Warehouse,326,262,2025-07-28T23:08:57.205683
INV4088,ITEM3029,East Coast Warehouse,201,222,2025-07-28T23:11:36.568429
INV4089,ITEM3066,East Coast Warehouse,452,121,2025-07-28T23:10:52.553612
INV4090,ITEM3182,Asia Warehouse,202,125,2025-07-28T23:13:16.660027
INV4091,ITEM3153,West Coast Warehouse,612,224,2025-07-28T23:11:12.155654
INV4092,ITEM3117,Europe Warehouse,582,102,2025-07-28T23:12:53.837372
INV4093,ITEM3113,Asia Warehouse,881,128,2025-07-28T23:09:03.252131
INV4094,ITEM3165,Asia Warehouse,796,264,2025-07-28T23:11:26.558312
INV4095,ITEM3147,West Coast Warehouse,603,262,2025-07-28T23:09:12.547800
INV4096,ITEM3162,Asia Warehouse,0,164,2025-07-28T23:09:40.258135
INV4097,ITEM3074,Asia Warehouse,615,169,2025-07-28T23:13:54.940546
INV4098,ITEM3179,Asia Warehouse,646,145,2025-07-28T23:13:58.086759
INV4099,ITEM3161,Europe Warehouse,519,223,2025-07-28T23:11:31.854809
INV4100,ITEM3115,Europe Warehouse,974,265,2025-07-28T23:08:27.045149
INV4101,ITEM3155,Europe Warehouse,270,236,2025-07-28T23:13:04.551738
INV4102,ITEM3133,West Coast Warehouse,349,170,2025-07-28T23:13:58.001199
INV4103,ITEM3069,Europe Warehouse,640,212,2025-07-28T23:11:55.462770
INV4104,ITEM3088,East Coast Warehouse,1000,293,2025-07-28T23:12:07.101186
INV4105,ITEM3183,West Coast Warehouse,499,101,2025-07-28T23:09:12.257403
INV4106,ITEM3178,Europe Warehouse,914,230,2025-07-28T23:08:33.663011
INV4107,ITEM3077,Asia Warehouse,507,141,2025-07-28T23:13:43.851856
INV4108,ITEM3194,West Coast Warehouse,67,294,2025-07-28T23:09:50.389058
INV4109,ITEM3054,Asia Warehouse,689,177,2025-07-28T23:09:42.320025
INV4110,ITEM3132,East Coast Warehouse,947,213,2025-07-28T23:12:16.799207
INV4111,ITEM3018,Europe Warehouse,653,275,2025-07-28T23:14:11.727073
INV4112,ITEM3115,West Coast Warehouse,198,299,2025-07-28T23:13:15.277922
INV4113,ITEM3130,East Coast Warehouse,781,159,2025-07-28T23:09:28.591489
INV4114,ITEM3100,West Coast Warehouse,314,228,2025-07-28T23:13:14.646310
INV4115,ITEM3065,Europe Warehouse,327,296,2025-07-28T23:09:53.272064
INV4116,ITEM3020,Asia Warehouse,105,275,2025-07-28T23:09:10.109870
INV4117,ITEM3057,Europe Warehouse,949,256,2025-07-28T23:11:24.272143
INV4118,ITEM3003,West Coast Warehouse,584,272,2025-07-28T23:08:37.176679
INV4119,ITEM3162,West Coast Warehouse,331,140,2025-07-28T23:08:44.297437
INV4120,ITEM3065,West Coast Warehouse,784,201,2025-07-28T23:12:23.434551
INV4121,ITEM3119,West Coast Warehouse,872,140,2025-07-28T23:13:10.979319
INV4122,ITEM3025,West Coast Warehouse,333,232,2025-07-28T23:12:33.026561
INV4123,ITEM3155,Asia Warehouse,669,252,2025-07-28T23:14:11.575651
INV4124,ITEM3019,Asia Warehouse,798,285,2025-07-28T23:13:28.180546
INV4125,ITEM3168,Europe Warehouse,234,167,2025-07-28T23:09:27.906064
INV4126,ITEM3022,Asia Warehouse,956,177,2025-07-28T23:11:13.735290
INV4127,ITEM3009,Europe Warehouse,148,178,2025-07-28T23:13:00.740359
INV4128,ITEM3197,Europe Warehouse,744,190,2025-07-28T23:13:30.215380
INV4129,ITEM3165,Europe Warehouse,460,178,2025-07-28T23:13:52.347048
INV4130,ITEM3062,Asia Warehouse,576,200,2025-07-28T23:12:00.661157
INV4131,ITEM3056,Asia Warehouse,5,295,2025-07-28T23:14:04.670525
INV4132,ITEM3119,Asia Warehouse,56,204,2025-07-28T23:12:26.791474
INV4133,ITEM3079,Europe Warehouse,661,135,2025-07-28T23:09:50.284730
INV4134,ITEM3131,Asia Warehouse,785,170,2025-07-28T23:12:10.419730
INV4135,ITEM3181,East Coast Warehouse,838,280,2025-07-28T23:10:07.789771
INV4136,ITEM3095,West Coast Warehouse,213,269,2025-07-28T23:09:27.824602
INV4137,ITEM3107,Europe Warehouse,301,195,2025-07-28T23:13:57.237365
INV4138,ITEM3066,East Coast Warehouse,329,209,2025-07-28T23:10:10.244608
INV4139,ITEM3126,Asia Warehouse,333,242,2025-07-28T23:13:41.046567
INV4140,ITEM3020,West Coast Warehouse,816,155,2025-07-28T23:09:00.141268
INV4141,ITEM3057,Asia Warehouse,876,170,2025-07-28T23:13:44.012801
INV4142,ITEM3101,East Coast Warehouse,76,162,2025-07-28T23:11:51.163230
INV4143,ITEM3122,West Coast Warehouse,333,285,2025-07-28T23:08:13.540529
INV4144,ITEM3006,Asia Warehouse,964,284,2025-07-28T23:08:15.448301
INV4145,ITEM3164,Asia Warehouse,974,111,2025-07-28T23:09:14.472967
INV4146,ITEM3144,Asia Warehouse,704,280,2025-07-28T23:11:32.084636
INV4147,ITEM3169,Asia Warehouse,255,171,2025-07-28T23:12:22.736379
INV4148,ITEM3052,Asia Warehouse,60,125,2025-07-28T23:11:08.031617
INV4149,ITEM3144,East Coast Warehouse,654,187,2025-07-28T23:10:33.404789
INV4150,ITEM3151,Europe Warehouse,550,194,2025-07-28T23:08:41.213563
INV4151,ITEM3143,Asia Warehouse,945,172,2025-07-28T23:13:27.619305
INV4152,ITEM3029,East Coast Warehouse,483,134,2025-07-28T23:12:06.455930
