Id,Name,BillingCountry,Industry,AnnualRevenue,CreatedDate
ACC1000,"Rodriguez, Figueroa and Sanchez",Australia,Food & Beverage,2225527.01,2021-04-07
ACC1001,Rhodes PLC,Japan,Wholesale,11937326.17,2021-01-01
ACC1002,Johnson-Davis,Australia,Food & Beverage,34158274.88,2021-09-25
ACC1003,"Johnson, Gonzalez and Santos",Brazil,Food & Beverage,29934133.11,2023-04-18
ACC1004,Cole LLC,USA,Food & Beverage,5591066.75,2024-08-13
ACC1005,Blake and Sons,Canada,Manufacturing,30498917.72,2024-01-23
ACC1006,Ramirez-Lewis,Brazil,Wholesale,36084961.03,2024-05-21
ACC1007,Davis Inc,Australia,Manufacturing,21556471.23,2022-05-13
ACC1008,Munoz-Roman,Germany,Manufacturing,14631344.7,2024-03-21
ACC1009,"Martinez, Nielsen and Miller",USA,Wholesale,35208830.35,2022-01-13
ACC1010,"Montgomery, Hensley and Ray",Japan,Retail,8618495.49,2024-02-04
ACC1011,Stanley LLC,Japan,Food & Beverage,5544546.33,2025-06-30
ACC1012,Delacruz Group,USA,Retail,42527223.95,2021-12-16
ACC1013,"Flowers, Martin and Kelly",Brazil,Retail,40549285.39,2023-12-03
ACC1014,"Zuniga, Wong and Lynch",Australia,Distribution,27275176.48,2021-06-04
ACC1015,"Sanchez, Ford and Nelson",Germany,Food & Beverage,28049990.93,2025-03-13
ACC1016,"Hawkins, Cohen and Cameron",Australia,Manufacturing,44387135.65,2024-06-13
ACC1017,Underwood LLC,Japan,Manufacturing,10422140.92,2022-07-29
ACC1018,Clark PLC,USA,Food & Beverage,33401902.61,2024-12-14
ACC1019,Lewis-Porter,Japan,Food & Beverage,42910568.33,2024-12-29
ACC1020,"Ellis, Baker and Wright",USA,Distribution,14620706.55,2023-05-18
ACC1021,Burgess-Patterson,Australia,Retail,8970050.76,2023-06-28
ACC1022,Robinson-Bright,Japan,Wholesale,33838583.54,2023-02-12
ACC1023,Campos Inc,Australia,Food & Beverage,30847419.28,2021-05-02
ACC1024,Conner Group,Canada,Manufacturing,36727213.1,2023-07-21
ACC1025,James-Ferrell,Canada,Distribution,19593316.65,2023-03-20
ACC1026,"Valencia, Smith and Le",Australia,Manufacturing,11761143.52,2023-12-24
ACC1027,"Potter, Mack and Peterson",Japan,Food & Beverage,12223355.53,2022-01-14
ACC1028,Chavez Ltd,USA,Retail,20657074.56,2024-12-13
ACC1029,Stanton-Gill,USA,Wholesale,45743670.09,2023-02-09
ACC1030,Harrell LLC,Brazil,Retail,11418700.66,2024-10-11
ACC1031,"Lynch, Hernandez and Farmer",Germany,Distribution,44349474.54,2023-04-08
ACC1032,"Sellers, George and Burns",Australia,Distribution,8000707.93,2021-02-16
ACC1033,Koch-Decker,Canada,Wholesale,37504460.12,2022-02-08
ACC1034,Allen PLC,Brazil,Retail,37603676.77,2025-04-22
ACC1035,Dennis Inc,Germany,Manufacturing,20570624.75,2025-06-17
ACC1036,"Cannon, Anderson and Alvarez",Canada,Wholesale,25966788.39,2023-04-27
ACC1037,Rose-Obrien,USA,Food & Beverage,43194042.57,2025-05-23
ACC1038,"Campos, Vaughn and Marquez",Canada,Wholesale,39811888.85,2022-07-25
ACC1039,"Santos, Kim and Holmes",Germany,Manufacturing,4112857.6,2021-03-05
