Id,AccountId,StageName,CloseDate,TotalAmount,Probability
OPP2000,ACC1292,Closed Lost,2023-11-18,0.0,50
OPP2001,ACC1165,Qualification,2023-12-12,0.0,18
OPP2002,ACC1059,Negotiation,2025-04-27,0.0,90
OPP2003,ACC1433,Proposal,2025-02-06,0.0,45
OPP2004,ACC1057,Negotiation,2023-08-20,0.0,55
OPP2005,ACC1034,Negotiation,2024-11-21,0.0,49
OPP2006,ACC1166,Negotiation,2024-10-19,0.0,14
OPP2007,ACC1203,Prospecting,2025-06-11,0.0,46
OPP2008,ACC1066,Prospecting,2025-05-07,0.0,21
OPP2009,ACC1029,Closed Won,2024-01-19,255998.57,100
OPP2010,ACC1034,Negotiation,2023-09-15,0.0,80
OPP2011,ACC1407,Closed Lost,2024-10-04,0.0,15
OPP2012,ACC1408,Proposal,2024-06-18,0.0,83
OPP2013,ACC1091,Closed Won,2024-11-30,164155.75,100
OPP2014,ACC1421,Negotiation,2025-04-25,0.0,29
OPP2015,ACC1356,Closed Lost,2024-01-22,0.0,67
OPP2016,ACC1392,Qualification,2023-08-29,0.0,53
OPP2017,ACC1424,Closed Lost,2024-06-12,0.0,20
OPP2018,ACC1042,Negotiation,2024-08-25,0.0,32
OPP2019,ACC1467,Prospecting,2025-01-29,0.0,66
OPP2020,ACC1101,Closed Lost,2025-02-14,0.0,77
OPP2021,ACC1374,Negotiation,2023-11-07,0.0,30
OPP2022,ACC1178,Proposal,2025-07-23,0.0,46
OPP2023,ACC1270,Proposal,2024-01-15,0.0,53
OPP2024,ACC1055,Closed Won,2025-05-27,30920.93,100
OPP2025,ACC1349,Closed Won,2024-09-21,170651.43,100
OPP2026,ACC1334,Proposal,2024-09-22,0.0,81
OPP2027,ACC1143,Closed Won,2025-02-11,145652.75,100
OPP2028,ACC1367,Closed Won,2025-03-17,329999.22,100
OPP2029,ACC1420,Closed Lost,2024-01-17,0.0,29
OPP2030,ACC1028,Proposal,2025-04-28,0.0,84
OPP2031,ACC1439,Closed Won,2025-07-17,458789.5,100
OPP2032,ACC1333,Proposal,2024-08-12,0.0,60
OPP2033,ACC1466,Qualification,2024-05-25,0.0,20
OPP2034,ACC1120,Proposal,2024-02-14,0.0,58
OPP2035,ACC1203,Closed Won,2024-09-06,167595.89,100
OPP2036,ACC1407,Qualification,2024-10-02,0.0,77
OPP2037,ACC1196,Prospecting,2025-01-15,0.0,64
OPP2038,ACC1477,Negotiation,2023-12-03,0.0,12
OPP2039,ACC1499,Proposal,2024-12-05,0.0,33
OPP2040,ACC1385,Closed Lost,2024-09-06,0.0,53
OPP2041,ACC1309,Closed Lost,2023-08-31,0.0,72
OPP2042,ACC1240,Qualification,2024-04-04,0.0,27
OPP2043,ACC1366,Qualification,2024-11-09,0.0,47
OPP2044,ACC1418,Closed Won,2024-05-01,55064.68,100
OPP2045,ACC1169,Closed Won,2024-08-14,418384.31,100
OPP2046,ACC1253,Closed Won,2024-12-18,23685.01,100
OPP2047,ACC1344,Proposal,2024-05-21,0.0,89
OPP2048,ACC1492,Qualification,2024-03-03,0.0,58
OPP2049,ACC1285,Qualification,2023-12-09,0.0,33
OPP2050,ACC1150,Closed Won,2024-08-24,386693.42,100
OPP2051,ACC1077,Closed Won,2024-01-20,86941.89,100
OPP2052,ACC1075,Proposal,2024-01-08,0.0,62
OPP2053,ACC1420,Proposal,2025-04-14,0.0,40
OPP2054,ACC1231,Closed Lost,2023-11-10,0.0,88
OPP2055,ACC1324,Proposal,2024-06-30,0.0,67
OPP2056,ACC1038,Qualification,2023-09-08,0.0,40
